;gender;name;birth_date;now_available;languages_spoken;price;education;biography;keywords;current_location;experience
0;male;Gary Baker;1984-07-08;True;['english'];25;high-school;Astronomer;['museums'];{'lat': 40.342693584880706, 'lon': 18.164380782481352};13
1;female;Lisa Swanson;1982-09-27;True;['italian', 'dutch'];36;middle-school;Designer, jewellery;['cinema', 'rafting', 'history', 'wine'];{'lat': 40.3367551413547, 'lon': 18.156912099558514};14
2;female;Carla Dillon;1995-01-04;True;['chinese', 'french', 'english'];34;phd;Travel agency manager;['food', 'archeology', 'art'];{'lat': 40.362447049660204, 'lon': 18.14225129410512};5
3;male;Jesse Schaefer;1990-11-12;True;['bulgarian'];46;bachelor;Financial planner;['countryside', 'rafting', 'art'];{'lat': 40.36584086550253, 'lon': 18.18300291098849};1
4;male;David Davis;1998-03-06;True;['deutsche', 'french'];30;master;Pilot, airline;['countryside', 'tracking', 'beer'];{'lat': 40.354724889812935, 'lon': 18.20308322213744};6
5;male;Joseph James;1974-05-30;True;['deutsche', 'dutch', 'bulgarian'];27;middle-school;Designer, exhibition/display;[];{'lat': 40.35854623058413, 'lon': 18.183459879904113};8
6;male;Steven Schneider;1980-08-19;True;['english', 'chinese', 'french'];34;middle-school;Engineer, land;['rafting', 'art', 'sport'];{'lat': 40.35774331848761, 'lon': 18.163273185718722};2
7;male;Reginald Berg;1971-01-06;True;['spanish', 'dutch', 'french', 'italian'];33;bachelor;Financial risk analyst;['museums', 'art', 'countryside', 'wine'];{'lat': 40.365193043282794, 'lon': 18.18548169596266};10
8;male;Gregory Lee;1973-12-11;True;['bulgarian', 'english', 'chinese'];31;middle-school;Audiological scientist;['literature', 'cinema', 'music'];{'lat': 40.35265552781134, 'lon': 18.151723396225158};25
9;male;Alex Perkins;1963-07-30;True;['chinese', 'bulgarian', 'dutch', 'english'];37;phd;Engineer, materials;['museums'];{'lat': 40.33774657696426, 'lon': 18.18206466411196};41
10;female;Barbara Martinez;1969-09-30;True;['bulgarian', 'deutsche'];23;high-school;Newspaper journalist;['cinema', 'rafting', 'sport', 'museums', 'countryside'];{'lat': 40.36612881009787, 'lon': 18.182042843791987};30
11;female;Misty Thompson;1973-02-04;True;['bulgarian'];23;phd;Emergency planning/management officer;['cinema', 'beer', 'rafting'];{'lat': 40.367394960036485, 'lon': 18.17553586649066};16
12;female;Ashley Garner;1996-02-27;True;['dutch', 'french', 'italian'];19;bachelor;Therapist, drama;['sport', 'music', 'beer'];{'lat': 40.34268462008425, 'lon': 18.18754217524696};1
13;female;Virginia Reese;1998-02-14;True;['chinese', 'english'];27;master;Best boy;['sport', 'archeology', 'beer'];{'lat': 40.35377358678542, 'lon': 18.174728239162743};2
14;male;Cody Carter;1994-11-19;True;['chinese', 'french'];40;middle-school;Tree surgeon;['museums'];{'lat': 40.353069674191346, 'lon': 18.17755576350439};5
15;male;Benjamin Ramirez;1959-02-07;True;['deutsche', 'chinese'];31;middle-school;Engineer, aeronautical;['music', 'food', 'tracking', 'archeology'];{'lat': 40.35272705494921, 'lon': 18.165705019396267};7
