;gender;name;birth_date;now_available;languages_spoken;price;education;biography;keywords;current_location;experience
0;female;Chelsea Martinez;1937-02-01;True;['dutch', 'chinese'];29;bachelor;Designer, textile;['wine'];{'lat': 40.360583803214006, 'lon': 18.170527998210105};10
1;male;Daniel Ibarra;1916-10-03;True;['bulgarian'];29;phd;Social researcher;['archeology'];{'lat': 40.351701701073104, 'lon': 18.170940778106704};6
2;female;Wendy Anderson;1945-02-24;True;['french', 'italian'];28;master;English as a second language teacher;['museums', 'food', 'wine'];{'lat': 40.35688994865342, 'lon': 18.17892064833443};4
3;male;Robert Adams;1915-04-10;True;['english'];31;elementary;Librarian, public;[];{'lat': 40.352684858988965, 'lon': 18.171849908571133};4
4;female;Grace Sparks;1940-04-08;True;['spanish', 'bulgarian'];33;master;Copy;['literature'];{'lat': 40.353073531674546, 'lon': 18.170829035650975};4
5;male;Michael Christian;1995-03-25;True;['chinese'];28;high-school;Marine scientist;['music', 'history'];{'lat': 40.36338197601472, 'lon': 18.181614978164042};6
6;male;George Reeves;2022-07-16;True;['english', 'chinese'];29;high-school;Public relations account executive;[];{'lat': 40.345630619548274, 'lon': 18.166132372151466};3
7;female;Cindy Molina;1954-05-16;True;['chinese'];36;bachelor;Insurance account manager;['literature', 'museums'];{'lat': 40.36147220160234, 'lon': 18.172627891532205};5
8;female;Amanda Roberts;1977-09-25;True;['bulgarian'];33;bachelor;Land;['cinema', 'museums', 'literature', 'history'];{'lat': 40.344907525808964, 'lon': 18.18945843095247};7
9;female;Alyssa Hill;2018-03-27;True;['deutsche'];32;bachelor;Scientist, physiological;['food', 'music', 'cinema', 'literature', 'museums', 'literature'];{'lat': 40.33631630303364, 'lon': 18.175822508412917};1
10;female;Karen Graham;1967-06-01;True;['deutsche', 'french'];31;phd;Chief of Staff;['wine'];{'lat': 40.35671318100556, 'lon': 18.173396735371284};4
11;male;Kevin Mclaughlin;1978-05-31;True;['italian', 'dutch'];34;bachelor;Commercial art gallery manager;['history'];{'lat': 40.35968494088892, 'lon': 18.173970091153574};2
12;female;Miranda West;1980-12-14;True;['italian', 'deutsche'];32;elementary;Broadcast engineer;['rafting', 'art'];{'lat': 40.361954445380796, 'lon': 18.17568638895323};9
13;female;Pamela Maldonado;2014-01-09;True;['italian'];22;bachelor;Sound technician, broadcasting/film/video;['music', 'museums'];{'lat': 40.34084957083049, 'lon': 18.18710760354505};10
14;male;Marcus Herrera;2007-10-24;True;['italian', 'dutch'];36;high-school;Geographical information systems officer;['tracking'];{'lat': 40.36501506767958, 'lon': 18.167303875027123};7
15;male;Dylan Miller;1975-07-05;True;['deutsche', 'dutch'];31;phd;Product designer;[];{'lat': 40.35998434462983, 'lon': 18.170060702008737};1
16;male;Glenn Curry;2004-12-08;True;['chinese', 'spanish'];29;elementary;Engineer, drilling;['literature'];{'lat': 40.36207703718629, 'lon': 18.18332843149701};7
17;male;Alan Landry;1957-06-13;True;['english'];21;bachelor;Print production planner;['art', 'wine', 'archeology'];{'lat': 40.35096442185527, 'lon': 18.158895849263967};3
18;male;Edwin Evans;1957-04-29;True;['deutsche', 'dutch'];29;phd;Paediatric nurse;['rafting'];{'lat': 40.35917892502436, 'lon': 18.187182237320776};7
19;female;Brooke Lucas;1961-03-06;True;['italian', 'bulgarian'];35;phd;Special educational needs teacher;['literature', 'sport'];{'lat': 40.34903132057752, 'lon': 18.17065120891363};9
